match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure, first_ings_score
1,"March 22,2025","Eden Gardens, Kolkata",KKR,RCB,League,RCB,Bowl,174.0,8.0,177.0,3.0,completed,RCB,0,7,22.0,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29,174.0
2,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,RR,Bowl,286.0,6.0,242.0,6.0,completed,SRH,44,0,0.0,Ishan Kishan,Ishan Kishan,106.0,Tushar Deshpande,3--44,286.0
3,"March 23,2025","MA Chidambaram Stadium, Chennai",CSK,MI,League,CSK,Bowl,155.0,9.0,158.0,6.0,completed,CSK,0,4,5.0,Noor Ahmad,Rachin Ravindra,65.0,Noor Ahmad,4--18,155.0
4,"March 24,2025","ACA-VDCA Cricket Stadium, Vishakhapatnam",DC,LSG,League,DC,Bowl,209.0,8.0,211.0,9.0,completed,DC,0,1,3.0,Ashutosh Sharma,Nicholas Pooran,75.0,Mitchell Starc,3--42,209.0
5,"March 25,2025","Narendra Modi Stadium, Ahmedabad",GT,PBKS,League,GT,Bowl,243.0,5.0,232.0,5.0,completed,PBKS,11,0,0.0,Shreyas Iyer,Shreyas Iyer,97.0,Sai Kishore,3--30,243.0
6,"March 26,2025","Barsapara Stadium, Guwahati",RR,KKR,League,KKR,Bowl,151.0,9.0,153.0,2.0,completed,KKR,0,8,15.0,Quinton de Kock,Quinton de Kock,97.0,Varun Chakravarthy,2--17,151.0
7,"March 27,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,LSG,League,LSG,Bowl,190.0,9.0,193.0,5.0,completed,LSG,0,5,23.0,Shardul Thakur,Nicholas Pooran,70.0,Shardul Thakur,4--34,190.0
8,"March 28,2025","MA Chidambaram Stadium, Chennai",CSK,RCB,League,CSK,Bowl,196.0,7.0,146.0,8.0,completed,RCB,50,0,0.0,Rajat Patidar,Rajat Patidar,51.0,Josh Hazlewood,3--21,196.0
9,"March 29,2025","Narendra Modi Stadium, Ahmedabad",GT,MI,League,MI,Bowl,196.0,8.0,160.0,6.0,completed,GT,36,0,0.0,Prasidh Krishna,Sai Sudarshan,63.0,Prasidh Krishna,2--18,196.0
10,"March 30,2025","ACA-VDCA Cricket Stadium, Vishakhapatnam",DC,SRH,League,SRH,Bat,163.0,10.0,166.0,3.0,completed,DC,0,7,24.0,Mitchell Starc,Aniket Verma,74.0,Mitchell Starc,5--35,163.0
11,"March 30,2025","Barsapara Stadium, Guwahati",RR,CSK,League,CSK,Bowl,182.0,9.0,176.0,6.0,completed,RR,6,0,0.0,Nitish Rana,Nitish Rana,81.0,Wanindu Hasranga,4--35,182.0
12,"March 31,2025","Wankhede Stadium, Mumbai",MI,KKR,League,MI,Bowl,116.0,10.0,121.0,2.0,completed,MI,0,8,43.0,Ashwani Kumar,Ryan Rickelton,62.0,Ashwani Kumar,4--24,116.0
13,"April 01,2025","Ekana Cricket Stadium, Lucknow",LSG,PBKS,League,PBKS,Bowl,171.0,7.0,177.0,2.0,completed,PBKS,0,8,22.0,Prabhsimran Singh,Prabhsimran Singh,69.0,Arshdeep Singh,3--43,171.0
14,"April 02,2025","M. Chinnaswamy Stadium, Bangalore",RCB,GT,League,GT,Bowl,169.0,8.0,170.0,2.0,completed,GT,0,8,13.0,Mohammed Siraj,Jos Buttler,73.0,Mohammed Siraj,3--19,169.0
15,"April 03,2025","Eden Gardens, Kolkata",KKR,SRH,League,SRH,Bowl,200.0,6.0,120.0,10.0,completed,KKR,80,0,20.0,Vaibhav Arora,Venkatesh Iyer,60.0,Varun Chakravarthy,3--22,200.0
16,"April 04,2025","Ekana Cricket Stadium, Lucknow",LSG,MI,League,MI,Bowl,203.0,8.0,191.0,5.0,completed,LSG,12,0,0.0,Digvesh Singh,Suryakumar Yadav,67.0,Hardik Pandya,5--36,203.0
17,"April 05,2025","MA Chidambaram Stadium, Chennai",CSK,DC,League,DC,Bat,183.0,6.0,158.0,5.0,completed,DC,25,0,0.0,KL Rahul,KL Rahul,77.0,Khaleel Ahmed,2--25,183.0
18,"April 05,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RR,League,PBKS,Bowl,205.0,4.0,155.0,9.0,completed,RR,50,0,0.0,Jofra Archer,Yashasvi Jaiswal,67.0,Jofra Archer,3--25,205.0
19,"April 06,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,GT,League,GT,Bowl,152.0,8.0,153.0,3.0,completed,GT,0,7,20.0,Mohammed Siraj,Shubman Gill,61.0,Mohammed Siraj,4--17,152.0
20,"April 07,2025","Wankhede Stadium, Mumbai",MI,RCB,League,MI,Bowl,221.0,5.0,209.0,9.0,completed,RCB,12,0,0.0,Rajat Patidar,Virat Kohli,67.0,Krunal Pandya,4--45,221.0
21,"April 08,2025","Eden Gardens, Kolkata",KKR,LSG,League,KKR,Bowl,238.0,3.0,234.0,7.0,completed,LSG,4,0,0.0,Nicholas Pooran,Nicholas Pooran,87.0,Harshit Rana,2--51,238.0
22,"April 08,2025","New PCA Cricket Stadium, Mullanpur",PBKS,CSK,League,PBKS,Bat,219.0,6.0,201.0,5.0,completed,PBKS,18,0,0.0,Priyansh Arya,Priyansh Arya,103.0,Lockie Ferguson,2--40,219.0
23,"April 09,2025","Narendra Modi Stadium, Ahmedabad",GT,RR,League,RR,Bowl,217.0,6.0,159.0,10.0,completed,GT,58,0,4.0,Sai Sudarshan,Sai Sudarshan,82.0,Prasidh Krishna,3--24,217.0
24,"April 10,2025","M. Chinnaswamy Stadium, Bangalore",RCB,DC,League,DC,Bowl,163.0,7.0,169.0,4.0,completed,DC,0,6,13.0,KL Rahul,KL Rahul,93.0,Kuldeep Yadav,2--17,163.0
25,"April 11,2025","MA Chidambaram Stadium, Chennai",CSK,KKR,League,KKR,Bowl,103.0,9.0,107.0,2.0,completed,KKR,0,8,59.0,Sunil Narine,Sunil Narine,44.0,Sunil Narine,3--13,103.0
26,"April 12,2025","Ekana Cricket Stadium, Lucknow",LSG,GT,League,LSG,Bowl,180.0,6.0,186.0,4.0,completed,LSG,0,6,3.0,Aiden Markram,Nicholas Pooran,61.0,Prasidh Krishna,2--26,180.0
27,"April 12,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,PBKS,League,PBKS,Bat,245.0,6.0,247.0,2.0,completed,SRH,0,8,9.0,Abhishek Sharma,Abhishek Sharma,141.0,Harshal Patel,4--42,245.0
28,"April 13,2025","Sawai Mansingh Stadium, Jaipur",RR,RCB,League,RCB,Bowl,173.0,4.0,175.0,1.0,completed,RCB,0,9,15.0,Phil Salt,Yashasvi Jaiswal,75.0,Krunal Pandya,1--29,173.0
29,"April 13,2025","Arun Jaitley Stadium, Delhi",DC,MI,League,DC,Bowl,205.0,5.0,193.0,10.0,completed,DC,12,0,6.0,Karn Sharma,Karun Nair,89.0,Karn Sharma,3--36,205.0
30,"April 14,2025","Ekana Cricket Stadium, Lucknow",LSG,CSK,League,CSK,Bowl,166.0,7.0,168.0,5.0,completed,CSK,0,5,3.0,MS Dhoni,Rishabh Pant,63.0,Ravi Bishnoi,2--18,166.0
31,"April 15,2025","New PCA Cricket Stadium, Mullanpur",PBKS,KKR,League,PBKS,Bat,111.0,10.0,95.0,10.0,completed,PBKS,16,0,29.0,Yuzvendra Chahal,Angkrish Raghuvanshi,37.0,Yuzvendra Chahal,4--28,111.0
32,"April 16,2025","Arun Jaitley Stadium, Delhi",DC,RR,League,RR,Bowl,188.0,5.0,188.0,4.0,completed,DC,super over,super over,0.0,Mitchell Starc,Nitish Rana,51.0,Jofra Archer,2--32,188.0
33,"April 17,2025","Wankhede Stadium, Mumbai",MI,SRH,League,MI,Bowl,162.0,5.0,166.0,6.0,completed,MI,0,4,11.0,Will Jacks,Abhishek Sharma,40.0,Pat Cummins,3--36,162.0
34,"April 18,2025","M. Chinnaswamy Stadium, Bangalore",RCB,PBKS,League,PBKS,Bowl,95.0,9.0,98.0,5.0,completed,PBKS,0,5,11.0,Tim David,Tim David,50.0,Josh Hazlewood,3--14,95.0
35,"April 19,2025","Narendra Modi Stadium, Ahmedabad",GT,DC,League,GT,Bowl,203.0,8.0,204.0,3.0,completed,GT,0,7,4.0,Jos Buttler,Jos Buttler,97.0,Prasidh Krishna,4--41,203.0
36,"April 19,2025","Sawai Mansingh Stadium, Jaipur",RR,LSG,League,LSG,Bat,180.0,5.0,178.0,5.0,completed,LSG,2,0,0.0,Avesh Khan,Yashasvi Jaiswal,74.0,Avesh Khan,3--37,180.0
37,"April 20,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,League,RCB,Bowl,157.0,6.0,159.0,3.0,completed,PBKS,0,7,7.0,Virat Kohli,Virat Kohli,73.0,Krunal Pandya,2--25,157.0
38,"April 20,2025","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Bowl,176.0,5.0,177.0,1.0,completed,MI,0,9,26.0,Rohit Sharma,Rohit Sharma,76.0,Jasprit Bumrah,2--25,176.0
